ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22052,HY397193,8/25/15,050XX S DORCHESTER AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,222,2,4,39,01A,1186405,1872022,2015,9/1/15 15:10,41.80395064,-87.59187829,"(41.803950638, -87.591878288)"
22051,HY396147,8/24/15,012XX N KEELER AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,TRUE,FALSE,2534,25,37,23,01A,1148158,1907752,2015,9/24/15 19:47,41.90281805,-87.73123173,"(41.902818046, -87.73123173)"
22049,HY394828,8/23/15,024XX W 58TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,824,8,16,63,01A,1160941,1866136,2015,8/31/15 15:43,41.78836352,-87.68543053,"(41.788363519, -87.685430532)"
22048,HY394808,8/23/15,010XX N LAMON AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1531,15,37,25,01A,1143508,1906312,2015,8/31/15 15:43,41.89895481,-87.74834829,"(41.898954812, -87.748348292)"
22047,HY393931,8/23/15,015XX N AVERS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2535,25,30,23,01A,1150424,1910011,2015,8/31/15 15:43,41.90897302,-87.72284918,"(41.908973017, -87.722849178)"
22046,HY393536,8/22/15,040XX S ALBANY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,921,9,14,58,01A,1156350,1877516,2015,8/31/15 15:43,41.81968548,-87.70195762,"(41.819685484, -87.701957617)"
22045,HY392566,8/22/15,052XX S MENARD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,811,8,23,56,01A,1138586,1869264,2015,8/31/15 15:43,41.79738034,-87.76732375,"(41.797380337, -87.767323748)"
22044,HY392002,8/21/15,038XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1133,11,24,26,01A,1150891,1896422,2015,10/9/15 15:56,41.87167425,-87.72148958,"(41.871674253, -87.721489579)"
22042,HY391099,8/21/15,013XX N BURLING ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,1822,18,27,8,01A,1170994,1908956,2015,8/31/15 15:43,41.90565144,-87.64731578,"(41.905651437, -87.647315778)"
22050,HX266828,8/20/15,069XX S SOUTH SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,331,3,5,43,01A,1193430,1859374,2015,8/31/15 15:43,41.76907453,-87.56652819,"(41.769074527, -87.566528191)"
22041,HY389714,8/20/15,027XX N CENTRAL PARK AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,2524,25,35,22,01A,1151917,1917883,2015,8/31/15 15:43,41.93054519,-87.71715677,"(41.930545187, -87.717156771)"
22040,HY388840,8/19/15,074XX S HARVARD AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,TRUE,FALSE,731,7,17,69,01A,1175245,1855588,2015,8/31/15 15:43,41.75911086,-87.63329808,"(41.759110864, -87.63329808)"
22038,HY386779,8/17/15,043XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1131,11,24,26,01A,1147557,1897670,2015,8/24/15 15:30,41.87516347,-87.73369812,"(41.875163473, -87.733698124)"
22037,HY386808,8/17/15,038XX W MONROE ST,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1122,11,28,26,01A,1150761,1899385,2015,8/24/15 15:30,41.8798076,-87.72188937,"(41.879807597, -87.721889369)"
22039,HY385366,8/17/15,016XX S SPRINGFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1014,10,24,29,01A,1150669,1891448,2015,10/9/15 15:56,41.85802936,-87.72243459,"(41.858029356, -87.722434585)"
22036,HY385366,8/16/15,016XX S SPRINGFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1014,10,24,29,01A,1150669,1891448,2015,10/9/15 15:56,41.85802936,-87.72243459,"(41.858029356, -87.722434585)"
22035,HY384750,8/16/15,057XX S PAULINA ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,715,7,15,67,01A,1165989,1866709,2015,8/24/15 15:30,41.78983002,-87.66690508,"(41.789830022, -87.666905081)"
22033,HY382553,8/15/15,041XX W WILCOX ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1115,11,28,26,01A,1148732,1899012,2015,8/24/15 15:30,41.87882347,-87.72934928,"(41.878823468, -87.729349283)"
22034,HY383024,8/15/15,059XX S MARSHFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,714,7,15,67,01A,1166358,1865336,2015,8/24/15 15:30,41.78605448,-87.66559116,"(41.786054484, -87.665591164)"
22032,HY383014,8/15/15,003XX N CENTRAL PARK AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1123,11,28,27,01A,1152321,1902190,2015,8/24/15 15:30,41.88747417,-87.71608714,"(41.88747417, -87.716087141)"
